Product_Name,Discount,MRP,Selling_Price,Brand,Manufacturer,Series,Colour,Form_Factor,Standing_Screen_Display_Size,Screen_Resolution,Resolution,Package_Dimensions,Item_Model_Number,Processor_Brand,Processor_Type,Processor_Speed,Processor_Count,Memory_Technology,Computer_Memory_Type,Maximum_Memory_Supported,Hard_Disk_Description,Hard_Drive_Interface,Graphics_Coprocessor,Graphics_Chipset_Brand,Graphics_Card_Description,Graphics_RAM_Type,Graphics_Card_RAM_Size,Graphics_Card_Interface,Connectivity_Type,Wireless_Type,Number_of_HDMI_Ports,Optical_Drive_Type,Operating_System,Are_Batteries_Included,Lithium_Battery_Energy_Content,Number_of_Lithium_Ion_Cells,Included_Components,Country_of_Origin,Item_Weight
"HP 15 (2025), Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg/MS Office 2021",-14%,"₹25,999₹25,999","22,340.",‎HP,‎HP,‎HP 15,‎Ash Grey,‎Laptop,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,,‎6S6E7EAABD,‎Intel,‎Celeron N,‎1.1 GHz,‎2,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,,‎Windows 11 Home,‎Yes,‎2200 Watt Hours,‎3,"‎LAPTOP, POWER ADAPTER, USER GUIDE",,‎1 kg 740 g
"ASUS Vivobook Go 15, AMD Ryzen 3 7320U Thin & Light Laptop(AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.63 Kg) E1504FA-NJ130WS",-34%,"₹44,990₹44,990","29,800.",‎ASUS,"‎ASUS, DIGITEK (CHONGQING) Limited, B01 SEC C Airport Function Zone Lianglu Cuntan Free Trade Port Area, Yubei District, China",‎Vivobook Go 15,‎Black | MSO 24,‎vivobook,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.4 x 28.9 x 6.6 cm; 1.63 kg,‎E1504FA-NJ130WS,‎AMD,‎Ryzen 3,‎2.4 GHz,‎4,‎DDR5,‎Shared,‎8 GB,‎SSD,‎USB,‎AMD Radeon™ Graphics,‎AMD,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎42 Watt Hours,‎3,"‎Laptop, Power Adaptor, User Guide, Warranty Documents",,‎1 kg 630 g
"HP 15 (Fingerprint, Metal ID,Backlit KB Laptop) Intel 13th Gen Core i5-1334U (16GB DDR4 Ram,512GB SSD) 15.6''/39.6cm,FHD,Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,Iris Xe,FHD Camera hr0008TU",-7%,"₹59,000₹59,000","55,000.",‎HP,"‎HP, HP India Sales Pvt. Ltd.",‎HP Laptop,‎Silver,‎Netbook,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎HP Laptop,‎Intel,‎Core i5,‎4.6 GHz,‎6,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎USB-C,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎45 Watt Hours,‎3,"‎Laptop, Power Adapter, User Manual",,‎1 kg 700 g
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",-39%,"₹82,789₹82,789","50,449.",‎Samsung,"‎Nanchang Huaqin Electronic Technology Co., Ltd. At : NO.2999, TIANXIANG AVENUE, HI-TECH DEVELOPMENT ZONE, NANCHANG CITY, JIANGXI PROVINCE, P.R.CHINA, Samsung",‎Samsung Galaxy Book4,‎Gray,‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎NP750XGJ-KG2IN,‎Intel,‎Intel Core i5,‎1.3 GHz,‎1,‎LPDDR4X,‎DDR4 SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,,‎Windows 11 Home,‎Yes,‎54 Watt Hours,‎4,"‎Notebook,45W Charger,Data Cable(USB-C to C, 1.8m),Quick Start Guide,,",,‎1 kg 550 g
"Acer Aspire Lite, Intel Core i7 12th Gen - 12650H, 16 GB RAM, 512 GB SSD, Full HD IPS 15.6""/39.62 cm, Windows 11 Home, MS Office, Pure Silver, 1.70 KG, AL15-52H, Backlit Keyboard Laptop",-25%,"₹71,599₹71,599","53,999.",‎Acer,"‎Acer, Acer India PVT LTD, R.S. No: 38/2, Sedarapet Main Road, Sedarapet, Villianur Commune, Puducherry-605111",‎Aspire Lite,‎Silver,‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎47.4 x 34.29 x 10 cm; 1.7 kg,‎AL15-52H,‎Intel,‎Intel Core i7,‎2.3 GHz,‎1,‎Lpddr 5,‎SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎54 Watt Hours,,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎1 kg 700 g
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD IPS, 15.6""/39.6cm, Windows 11, MSOffice 21, Arctic Grey, 1.6Kg,83ER008GIN,Backlit KB,Alexa Built-in,1 Yr ADP Free Laptop",-35%,"₹75,000₹75,000","48,640.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎IdeaPad,‎i5 | 16GB | 512GB SSD,‎Thin & Light,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.5 x 33.4 x 7.4 cm; 1.62 kg,‎15IAH8,‎Intel,‎Others,‎2 GHz,‎8,‎Lpddr 5,‎DDR5 RAM,‎16 GB,‎SSD,‎PCIE x 4,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,‎802.11bgn,‎1,‎No Optical Drive,‎Windows 11 Home,‎Yes,‎47 Watt Hours,‎4,"‎Laptop, Adapter and User Guide,,,,,,,,,,,,,,,,,,,",,‎1 kg 620 g
"Lenovo LOQ 2024 13th Gen Core i7-13650HX | NVIDIA RTX 4060 8GB (24GB RAM/512GB SSD/15.6"" (39.6cm)/Windows 11/Office Home 2024/100% sRGB/3 Mon. Game Pass/Grey/2.4Kg), 83DV00X8IN Gaming Laptop",-31%,"₹1,45,790₹1,45,790","1,00,690.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎LOQ,‎Luna Grey,‎Gaming Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎54.4 x 35.9 x 8.7 cm; 2.38 kg,‎15IRX9,‎Intel,‎Core i7,‎2.6 GHz,‎14,‎DDR5,‎DDR5 RAM,‎32 GB,‎SSD,‎PCIE x 4,‎NVIDIA RTX 4060,‎NVIDIA,‎Dedicated,‎Shared,,‎PCI Express,‎Wi-Fi,"‎802.11ax, Bluetooth",‎1,‎Not Available,‎Windows 11 Home,‎Yes,‎60 Watt Hours,‎4,"‎Laptop, Power Adapter, User Guide",‎China,‎2 kg 380 g
ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver,-55%,"₹39,990₹39,990","17,990.",‎FUTOPIA,"‎Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com, ‎Futopia Global Pvt Ltd, Customer Support - 9871822776, Email:- support@futopia-global.com",‎APEX,‎Silver,‎Laptop,‎14.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎39.2 x 33.79 x 8.9 cm; 1.25 kg,‎NU14U7INC56BN-CS,‎Intel,‎Celeron N4020,‎1.1 GHz,‎2,‎LPDDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎Solid State,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎GDDR4,,‎Integrated,‎Wi-Fi,"‎802.11ax, Bluetooth",‎1,,‎Window Home 11,,‎37 Watt Hours,‎2,"‎1X User Manual, Charger, Laptop, Warranty Card",‎India,‎1 kg 250 g
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",-26%,"₹38,000₹38,000","27,999.",‎Lenovo,‎Lenovo Group Limited,‎V15,‎Silver,‎Clamshell,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎53.5 x 33.1 x 7.1 cm; 1.5 kg,‎V15,‎AMD,‎Athlon,‎2.4 GHz,‎2,,‎DDR5 RAM,‎8 GB,‎512GB NVMe M.2 SSD,,‎AMD Radeon 610M,‎AMD,‎Dedicated,,,,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11,‎Yes,‎65 Watt Hours,‎2,,,‎1 kg 500 g
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.62Kg), 83ER00KPIN/83ER00KRIN",-43%,"₹85,000₹85,000","48,745.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎IdeaPad,"‎i5-12th Gen | 15.6""",‎Ultra-Portable,‎39.6 Centimetres,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.4 x 33.1 x 7.5 cm; 1.37 kg,‎15IAH8,‎Intel,‎Core i5 Family,‎2,‎5,‎Lpddr 5,‎DDR5 RAM,‎16 GB,‎SSD,‎USB,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Wi-Fi,"‎802.11ax, Bluetooth",‎1,‎No Optical Drive,‎Windows 11,‎Yes,‎47 Watt Hours,‎4,‎Laptop,,‎1 kg 370 g
"Lenovo Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 128 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 14| 45 W Fast Charger| Built-in Kickstand| Color: Luna Grey",-41%,"₹32,000₹32,000","18,998.",‎Lenovo,"‎Lenovo, ‎Lenovo, Motorola (Wuhan) Mobility Communication Technologies Communication co Ltd., No 19 Gaoxin 4th Road, East Lake High-Tech Zone, Wuhan, Hubei, P.R. China",‎Tab Plus,‎luna grey,,‎11.5 Inches,‎2K,‎2K,,‎ZADX0098IN,‎MediaTek,,‎2.2 GHz,,,‎DDR4 SDRAM,,,,,,‎Integrated,,,,‎Wi-Fi,"‎802.11a, 802.11ac, 802.11b, 802.11g, 802.11n",,,‎Android,‎Yes,‎8600 Milliampere Hour (mAh),‎1,‎1 Unit Table,‎China,‎1 kg 120 g
"acer Professional 14[New Launch], 13th Gen Intel Core i7-1355U Turbo Boost, 32GB DDR4, 1TB SSD, Win11 Pro, MSO21, 14inch FHD Laptop, 3 Year Warranty, Metal ID, Fingerprint, Backlit KB, Silver, 1.34kg",-21%,"₹90,000₹90,000","71,000.",‎acer,‎Padget Electronics Pvt Ltd,‎Travel Lite,‎Silver,‎Note Book,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎46.5 x 29.3 x 8.4 cm; 1.36 kg,‎TL14-52M,‎Intel,‎Intel Core i7-1355U,‎3.7 GHz,‎10,‎DDR4,‎DDR4 SDRAM,‎64 GB,‎SSD,‎USB,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎GDDR4,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Pro,‎Yes,‎7000 Milliampere Hour (mAh),‎3,"‎Adaptor, Laptop",,‎1 kg 360 g
"HP 15 (2025), AMD Athlon 7120U Dual Core - (8 GB/256 GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Black/1.5 kg/MS Office 2021",-41%,"₹40,990₹40,990","24,280.",‎HP,‎HP,‎HP 15,‎Black,‎Laptop,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,‎32.4 x 22.5 x 1.8 cm; 1.5 kg,‎HP 15,‎AMD,‎Athlon,‎2.4 GHz,‎2,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎Solid State,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,,‎Windows 11 Pro,,,,"‎LAPTOP, POWER ADAPTER, USER GUIDE",,‎1 kg 500 g
"HP 14-ep0340TU Laptop, 13th Gen Intel Core i5-1334U, 16GB DDR4, 512GB SSD, 14"" (35.6 cm) FHD Anti-Glare Display, Windows 11, MS Office 2024, Silver, 1.4kg, FHD Camera with Privacy Shutter",-38%,"₹85,000₹85,000","52,999.",‎HP,‎HP,‎HP LAPTOP,‎Silver,,‎14 Inches,,,‎45 x 25 x 5 cm; 1.9 kg,,‎Intel,‎Core i5,‎4.6,‎10,‎DDR4,,,‎SSD,,‎Intel UHD Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,,,,,‎Windows 11 Home,‎Yes,‎41 Watt Hours,‎3,"‎laptop , charger,manual,power cord",,‎1 kg 900 g
"ASUS Vivobook S16, Intel Core Ultra 5 225H, Metallic Design Laptop (Intel iGPU/16GB RAM/512GB SSD/FHD+/16""/144Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.7 Kg) S3607CA-RP065WS",-27%,"₹99,990₹99,990","72,990.",‎ASUS,"‎ASUS, TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China",‎ASUS Vivobook S16,‎Cool Silver,‎vivobook,‎16 Inches,‎1920 x 1200 pixels,‎1920 x 1200 pixels,‎48.79 x 30.8 x 6.4 cm; 1.7 kg,‎S3607CA-RP065WS,‎Intel,‎Intel Core Ultra 5,‎1.7 GHz,‎14,‎DDR5,‎DDR5 RAM,‎16 GB,‎SSD,‎USB,‎Intel Arc Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,‎Bluetooth,‎Bluetooth,‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎70 Watt Hours,‎4,"‎Laptop, Power Adaptor, User Guide, Warranty Documents",‎China,‎1 kg 700 g
"Lenovo IdeaPad Pro 5, Intel Core Ultra 9 185H, 32GB RAM, 1TB SSD, 2.8K-OLED 400Nits 120Hz, 14""/35.5cm, Windows 11, MS Office 21, Grey, 1.4Kg, 83D2001GIN,IntelArc GPU, FHD+IRCam, AI Powered Laptop",-18%,"₹1,38,990₹1,38,990","1,13,990.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎IdeaPad,"‎14"" | 2.8K OLED",‎Ultra-Portable,‎14 Inches,‎2880x1880,‎2880x1880,,‎14IMH9,‎Intel,‎Core i9,‎5.1 GHz,‎16,‎Lpddr5x,‎DDR5 RAM,‎32 GB,‎SSD,‎PCIE x 4,‎Integrated Intel Arc Graphics,‎Intel,‎Integrated,‎Shared,,‎PCI Express,‎Wi-Fi,‎802.11ax,‎1,‎No Optical Drive,‎Windows 11 Home,‎Yes,‎84 Watt Hours,‎3,‎Laptop,,‎2 kg 290 g
"Acer Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (24 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Laptop/15.6"" FHD IPS Display/Metal Body/Silver/1.5 Kg/MSO 2021/3 Years Warranty",-30%,"₹45,990₹45,990","32,150.",‎acer,‎Acer,‎Aspire 3,‎Silver,‎Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎36.04 x 23.93 x 1.99 cm; 1.5 kg,‎A325-53,‎Intel,‎Core i3,‎3.3 GHz,‎5,‎DDR4,‎DDR4 SDRAM,‎32 GB,‎SSD,‎Solid State,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,,‎55.2 Watt Hours,‎3,"‎LAPTOP, POWER ADAPTER, USER GUIDE",,‎1 kg 500 g
"Primebook 2 Pro 2025 (New Launch) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI | Gray",-40%,"₹29,990₹29,990","17,990.",‎Primebook,‎VVDN Technologies Private Limited,‎Primebook 2 Pro,‎Gray,‎Laptop,‎14.1 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎33 x 24 x 8.5 cm; 1.38 kg,,‎MediaTek,‎MediaTek Helio,‎2.2 GHz,‎1,‎LPDDR4X,‎DDR4 SDRAM,‎8 GB,‎UFS 2.2,,‎Mali-G57,‎MediaTek,‎Integrated,‎DDR4 SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎802.11a/b/g/n/ac,,,‎PrimeOS 3.0,,,,"‎1 Laptop, 1 Charger, Use Manual, Welcome Card",‎India,‎1 kg 380 g
"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop",-45%,"₹58,390₹58,390","31,990.",‎Lenovo,"‎Lenovo, One of the below: Hefei Bitland Information Technology Co.,Ltd - No.4088 Jiuxiu Road National Hefei economic & technology development area Hefei Anhui China LCFC（Hefei) Electronics Technology Co., Ltd. - NO.1-3188,YUNGU ROAD, HEFEI EXPORT PROCESSING ZONE. ANHUI PROVINCE,CHINA Tech-Com(Shanghai) Computer Co Ltd - No.6 Ln.58,San-Zhuang Rd., Songjiang EPZ ShangHai, China Wistron InfoComm (Kunshan) Co.Ltd - 168# First Avenue, Kunshan Export Processing Zone, Kunshan, Jiangsu, China Compal information technology (kunshan) CO., LTD. - Address: No. 58, the 1st street, Kunshan Export Processing Zone, Jiangsu, P.R.O.C. CHINA Kunshan Hichain storage Co. Ltd - No. 88 Xinxiang Road Avenue Kunshan CBZ Wujiang Hichain warehousing LTD - No.2088 Pangjin road, Wujiang economic development area, Jiangsu, China",‎IdeaPad 3 15IAU7,"‎i3-12th Gen | 15""",‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎82RK00VTIN,‎Intel,‎Core i3,‎4.4 GHz,‎6,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎PCIE x 4,‎Intel UHD Graphics,‎Intel,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,‎No Optical Drive,‎Windows 11 Home,‎Yes,‎45 Watt Hours,‎3,"‎Laptop,User Manual,Power Adapter",‎India,‎1 kg 630 g
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 5 210H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024,Matte Black,1.95 Kg),V3607VU-RP550WS",-29%,"₹1,07,990₹1,07,990","76,790.",‎ASUS,"‎ASUS, INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331",‎ASUS Vivobook 16,‎Black | Core 5 210H,‎gaming,‎16 Inches,‎1920 x 1200 pixels,‎1920 x 1200 pixels,‎48.79 x 31.6 x 6.5 cm; 1.95 kg,‎V3607VU-RP550WS,‎Intel,‎Intel Core 5,‎2.2 GHz,‎8,‎DDR5,‎DDR5 RAM,‎16 GB,‎SSD,‎USB,‎NVIDIA GeForce RTX 4050,‎Intel,‎Integrated,‎GDDR6,,‎Integrated,‎Wi-Fi,‎Bluetooth,‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎63 Watt Hours,‎3,"‎Laptop, Power Adaptor, User Guide, Warranty Documents",,‎1 kg 950 g
"PLIXIO Adjustable Laptop Stand with 360° Rotating Base Tabletop Ergonomic Foldable Portable Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Sliver) (A06)",-67%,"₹3,99,900.00₹3,99,900.00","3,999.",‎PLIXIO,‎PLIXIO,,,‎Table Stand,,,,,‎A06,,,,,,,,,,,,,,,,,,,,,,,,,‎China,‎750 g
"Lenovo V15 G4 AMD Ryzen 5 7520U DOS 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD,Dolby Audio,Premium Grey, 1 Year Onsite Brand Warranty",-44%,"₹60,300₹60,300","33,500.",‎Lenovo,"‎Lenovo, Lenovo India",‎V15 G4 AMN,‎Premium Grey,‎Clamshell,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.77 x 30.73 x 6.6 cm; 1.62 kg,,‎AMD,‎Ryzen 5,‎2.8 GHz,‎1,‎DDR4,‎DDR5 RAM,‎16 GB,‎SSD,‎USB,‎AMD Radeon R5,‎AMD,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Wi-Fi,‎802.11ax,‎1,,‎DOS,‎Yes,‎41 Watt Hours,‎3,‎Webcam,,‎1 kg 620 g
"Lenovo 15 (2025), AMD Ryzen 5 7520U Quad Core - (16 GB/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.6 kg/MS Office 2021",-62%,"₹88,990₹88,990","33,500.",‎Lenovo,‎Lenovo,‎Lenovo 15,‎Arctic Grey,‎Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎35.9 x 23.5 x 1.8 cm; 1.5 kg,‎Lenovo 15,‎AMD,‎Ryzen 5,‎2.8 GHz,‎4,‎Lpddr 5,‎DDR5 RAM,‎16 GB,‎SSD,‎Solid State,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎Shared,,‎Integrated,"‎Bluetooth, Wi-Fi","‎802.11ax, Bluetooth",‎1,,‎Windows 11 Pro,‎Yes,‎65 Watt Hours,‎2,"‎LAPTOP, POWER ADAPTER, USER GUIDE",,‎1 kg 500 g
"hp Professional 14, 13th Gen Intel Core i5-1334U Turbo Boost, 32GB DDR4, 2TB GB SSD, (Win 11 Pro, MSO 21Pro, Silver Gray, 1.49kg), 14 inch Laptop, UHD Graphics, Backlit KB, 240 G10",-36%,"₹89,999₹89,999","57,150.",‎hp,‎Flextronics Technologies India Pvt Ltd,‎240 G10,‎Silver Gray,‎Business Laptop,‎14 Inches,‎3840 x 2160 pixels,‎3840 x 2160 pixels,‎45.2 x 31.4 x 6.8 cm; 1.36 kg,‎240 G10,‎Intel,‎Intel Core i5,‎1.3 GHz,‎10,‎DDR4,‎DDR4 SDRAM,‎64 GB,‎SSD,‎USB,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎GDDR4,,‎Integrated,‎Bluetooth,‎802.11a/b/g/n,‎1,,‎Windows 11 Pro,‎Yes,‎7000 Milliampere Hour (mAh),‎3,,‎India,‎1 kg 360 g
